pozycja,artysta,utwór,rok_wydania,youtube_search,youtube_link,youtubeId
237,Armia,NIEZWYCIĘŻONY,1991,https://www.youtube.com/results?search_query=Armia%20NIEZWYCI%C4%98%C5%BBONY,https://www.youtube.com/watch?v=BI2lrdjYQ2o,BI2lrdjYQ2o
238,Anna Maria Jopek,JA WYSIADAM,2007,https://www.youtube.com/results?search_query=Anna%20Maria%20Jopek%20JA%20WYSIADAM,https://www.youtube.com/watch?v=RJsTBwHT6TY,RJsTBwHT6TY
239,Myslovitz,PEGGY BROWN,1996,https://www.youtube.com/results?search_query=Myslovitz%20PEGGY%20BROWN,https://www.youtube.com/watch?v=wQULTn59k1Q,wQULTn59k1Q
240,Marek Grechuta & Anawa,OCALIĆ OD ZAPOMNIENIA,1974,https://www.youtube.com/results?search_query=Marek%20Grechuta%20%26%20Anawa%20OCALI%C4%86%20OD%20ZAPOMNIENIA,https://www.youtube.com/watch?v=pE_-mac9QU4,pE_-mac9QU4
241,Lech Janerka,KONSTYTUCJE,2001,https://www.youtube.com/results?search_query=Lech%20Janerka%20KONSTYTUCJE,https://www.youtube.com/watch?v=W4MC7RzFeMU,W4MC7RzFeMU
242,Marek Grechuta & Anawa,"WIOSNA, ACH TO TY",,https://www.youtube.com/results?search_query=Marek%20Grechuta%20%26%20Anawa%20WIOSNA%2C%20ACH%20TO%20TY,https://www.youtube.com/watch?v=3NQnnhlRWmc,3NQnnhlRWmc
243,Maria Peszek,SORRY POLSKO,2012,https://www.youtube.com/results?search_query=Maria%20Peszek%20SORRY%20POLSKO,https://www.youtube.com/watch?v=5CytySnKHrY,5CytySnKHrY
244,Bajm,"DWA SERCA, DWA SMUTKI",1986,https://www.youtube.com/results?search_query=Bajm%20DWA%20SERCA%2C%20DWA%20SMUTKI,https://www.youtube.com/watch?v=HPJ5AOL0eCs,HPJ5AOL0eCs
245,Sidney Polak,Otwieram wino,2004,https://www.youtube.com/results?search_query=Sidney%20Polak%20Otwieram%20wino,https://www.youtube.com/watch?v=b16vSZMJ13k,b16vSZMJ13k
246,Jonasz Kofta,PAMIĘTAJCIE O OGRODACH,2007,https://www.youtube.com/results?search_query=Jonasz%20Kofta%20PAMI%C4%98TAJCIE%20O%20OGRODACH,https://www.youtube.com/watch?v=Iuuz598PXQs,Iuuz598PXQs
247,Republika,RAZ NA MILION LAT,1998,https://www.youtube.com/results?search_query=Republika%20RAZ%20NA%20MILION%20LAT,https://www.youtube.com/watch?v=S4L4G343dFQ,S4L4G343dFQ
248,Męskie Granie Orkiestra 2019,SOBIE I WAM,2019,https://www.youtube.com/results?search_query=M%C4%99skie%20Granie%20Orkiestra%202019%20SOBIE%20I%20WAM,https://www.youtube.com/watch?v=dSgLWXmp2YA,dSgLWXmp2YA
249,Brodka,Granda,2010,https://www.youtube.com/results?search_query=Brodka%20Granda,https://www.youtube.com/watch?v=D1CjdBPmIzg,D1CjdBPmIzg
250,TSA,TRZY ZAPAŁKI,,https://www.youtube.com/results?search_query=TSA%20TRZY%20ZAPA%C5%81KI,https://www.youtube.com/watch?v=6uFftMcu1Xg,6uFftMcu1Xg
251,Wojciech Młynarski,JESTEŚMY NA WCZASACH,1966,https://www.youtube.com/results?search_query=Wojciech%20M%C5%82ynarski%20JESTE%C5%9AMY%20NA%20WCZASACH,https://www.youtube.com/watch?v=o1HCzB99IHg,o1HCzB99IHg
252,Kult,DZIEWCZYNA BEZ ZĘBA NA PRZEDZIE,1998,https://www.youtube.com/results?search_query=Kult%20DZIEWCZYNA%20BEZ%20Z%C4%98BA%20NA%20PRZEDZIE,https://www.youtube.com/watch?v=hbN8Zrzlirc,hbN8Zrzlirc
253,Illusion,NÓŻ,2011,https://www.youtube.com/results?search_query=Illusion%20N%C3%93%C5%BB,https://www.youtube.com/watch?v=2sIxHSnxYXo,2sIxHSnxYXo
254,Kazik & Edyta Bartosiewicz,CZTERY POKOJE,,https://www.youtube.com/results?search_query=Kazik%20%26%20Edyta%20Bartosiewicz%20CZTERY%20POKOJE,https://www.youtube.com/watch?v=nNhrzGLdEVE,nNhrzGLdEVE
255,Król,Te smaki i zapachy,2019,https://www.youtube.com/results?search_query=Kr%C3%B3l%20Te%20smaki%20i%20zapachy,https://www.youtube.com/watch?v=eCbY5Rkrs4Y,eCbY5Rkrs4Y
256,"Męskie Granie Orkiestra 2023 (Igo, Mrozu, Vito Bambino)",Supermoce,,https://www.youtube.com/results?search_query=M%C4%99skie%20Granie%20Orkiestra%202023%20%28Igo%2C%20Mrozu%2C%20Vito%20Bambino%29%20Supermoce,https://www.youtube.com/watch?v=pKqVj-ermPY,pKqVj-ermPY
257,Krystyna Prońko,MAŁE TĘSKNOTY,2012,https://www.youtube.com/results?search_query=Krystyna%20Pro%C5%84ko%20MA%C5%81E%20T%C4%98SKNOTY,https://www.youtube.com/watch?v=oHbGP01Xnws,oHbGP01Xnws
258,"Kaczmarski, Gintrowski, Łapiński",MODLITWA O WSCHODZIE SŁOŃCA,,https://www.youtube.com/results?search_query=Kaczmarski%2C%20Gintrowski%2C%20%C5%81api%C5%84ski%20MODLITWA%20O%20WSCHODZIE%20S%C5%81O%C5%83CA,https://www.youtube.com/watch?v=rdnmkg8CQaI,rdnmkg8CQaI
259,Klaus Mitffoch,STRZEŻ SIĘ TYCH MIEJSC,1993,https://www.youtube.com/results?search_query=Klaus%20Mitffoch%20STRZE%C5%BB%20SI%C4%98%20TYCH%20MIEJSC,https://www.youtube.com/watch?v=FxN5ceTZnB0,FxN5ceTZnB0
260,IRA,MÓJ DOM,2014,https://www.youtube.com/results?search_query=IRA%20M%C3%93J%20DOM,https://www.youtube.com/watch?v=ooQ_cAETNyo,ooQ_cAETNyo
261,2 plus 1,WINDĄ DO NIEBA,,https://www.youtube.com/results?search_query=2%20plus%201%20WIND%C4%84%20DO%20NIEBA,https://www.youtube.com/watch?v=C1GID_AKjhQ,C1GID_AKjhQ
262,Sistars,Sutra,2004,https://www.youtube.com/results?search_query=Sistars%20Sutra,https://www.youtube.com/watch?v=pQvWip9D0Xs,pQvWip9D0Xs
263,Stanisław Soyka,CUD NIEPAMIĘCI,2002,https://www.youtube.com/results?search_query=Stanis%C5%82aw%20Soyka%20CUD%20NIEPAMI%C4%98CI,https://www.youtube.com/watch?v=eEqfMGY2gN0,eEqfMGY2gN0
264,Ralph Kaminski,KOSMICZNE ENERGIE,2019,https://www.youtube.com/results?search_query=Ralph%20Kaminski%20KOSMICZNE%20ENERGIE,https://www.youtube.com/watch?v=nV8FGJNQqyM,nV8FGJNQqyM
265,Krzysztof Krawczyk,BO JESTEŚ TY,2003,https://www.youtube.com/results?search_query=Krzysztof%20Krawczyk%20BO%20JESTE%C5%9A%20TY,https://www.youtube.com/watch?v=1QyW_QeR2dQ,1QyW_QeR2dQ
266,Basia,CRUISING FOR BRUISING,1992,https://www.youtube.com/results?search_query=Basia%20CRUISING%20FOR%20BRUISING,https://www.youtube.com/watch?v=OCwsy3v8MiA,OCwsy3v8MiA
267,Budka Suflera,CZAS OŁOWIU,1999,https://www.youtube.com/results?search_query=Budka%20Suflera%20CZAS%20O%C5%81OWIU,https://www.youtube.com/watch?v=8DBJJuKLX5s,8DBJJuKLX5s
268,Lady Pank,WCIĄŻ BARDZIEJ OBCY,1995,https://www.youtube.com/results?search_query=Lady%20Pank%20WCI%C4%84%C5%BB%20BARDZIEJ%20OBCY,https://www.youtube.com/watch?v=zYrmvpwqZYI,zYrmvpwqZYI
269,Kabaret Starszych Panów,PIOSENKA JEST DOBRA NA WSZYSTKO,,https://www.youtube.com/results?search_query=Kabaret%20Starszych%20Pan%C3%B3w%20PIOSENKA%20JEST%20DOBRA%20NA%20WSZYSTKO,https://www.youtube.com/watch?v=kkiMU6epe5w,kkiMU6epe5w
270,Lao Che,Kapitan Polska,2019,https://www.youtube.com/results?search_query=Lao%20Che%20Kapitan%20Polska,https://www.youtube.com/watch?v=h7ShR35anqg,h7ShR35anqg
271,Muchy,Szaroróżowe,,https://www.youtube.com/results?search_query=Muchy%20Szaror%C3%B3%C5%BCowe,https://www.youtube.com/watch?v=UbtKux8mrC0,UbtKux8mrC0
272,Urszula Dudziak,PAPAJA,,https://www.youtube.com/results?search_query=Urszula%20Dudziak%20PAPAJA,https://www.youtube.com/watch?v=zWSfiVp0vYA,zWSfiVp0vYA
273,Kult,KREW BOGA,1987,https://www.youtube.com/results?search_query=Kult%20KREW%20BOGA,https://www.youtube.com/watch?v=gVhKwnUzWwM,gVhKwnUzWwM
274,Ewa Demarczyk,KARUZELA Z MADONNAMI,1999,https://www.youtube.com/results?search_query=Ewa%20Demarczyk%20KARUZELA%20Z%20MADONNAMI,https://www.youtube.com/watch?v=CZWBSVjCljs,CZWBSVjCljs
275,Muniek Staszczyk,Pola,2019,https://www.youtube.com/results?search_query=Muniek%20Staszczyk%20Pola,https://www.youtube.com/watch?v=OuR1SxSNNOU,OuR1SxSNNOU
276,"Raz, Dwa, Trzy",JUTRO MOŻEMY BYĆ SZCZĘŚLIWI,2005,https://www.youtube.com/results?search_query=Raz%2C%20Dwa%2C%20Trzy%20JUTRO%20MO%C5%BBEMY%20BY%C4%86%20SZCZ%C4%98%C5%9ALIWI,https://www.youtube.com/watch?v=m_-QSyCCTss,m_-QSyCCTss
277,Republika,MAMONA,2002,https://www.youtube.com/results?search_query=Republika%20MAMONA,https://www.youtube.com/watch?v=-R7qqsT6-T8,-R7qqsT6-T8
278,Ryszard Rynkowski,SZCZĘŚLIWEJ DROGI JUŻ CZAS,1998,https://www.youtube.com/results?search_query=Ryszard%20Rynkowski%20SZCZ%C4%98%C5%9ALIWEJ%20DROGI%20JU%C5%BB%20CZAS,https://www.youtube.com/watch?v=_pZ9xrYKt58,_pZ9xrYKt58
279,Hanna Banaszak,SAMBA PRZED ROZSTANIEM,2008,https://www.youtube.com/results?search_query=Hanna%20Banaszak%20SAMBA%20PRZED%20ROZSTANIEM,https://www.youtube.com/watch?v=RmpkiVh7_Hc,RmpkiVh7_Hc
280,Maanam,WYJĄTKOWO ZIMNY MAJ,2000,https://www.youtube.com/results?search_query=Maanam%20WYJ%C4%84TKOWO%20ZIMNY%20MAJ,https://www.youtube.com/watch?v=3Skn4vxU9cA,3Skn4vxU9cA
281,Kapitan Nemo,TWOJA LORELEI,1998,https://www.youtube.com/results?search_query=Kapitan%20Nemo%20TWOJA%20LORELEI,https://www.youtube.com/watch?v=qJXofKiaUJ4,qJXofKiaUJ4
282,Kaśka Sochacka & Vito Bambino,Boję się o Ciebie,,https://www.youtube.com/results?search_query=Ka%C5%9Bka%20Sochacka%20%26%20Vito%20Bambino%20Boj%C4%99%20si%C4%99%20o%20Ciebie,https://www.youtube.com/watch?v=Hiihi5hprdA,Hiihi5hprdA
283,Krystyna Prońko,DESZCZ W CISNEJ,2012,https://www.youtube.com/results?search_query=Krystyna%20Pro%C5%84ko%20DESZCZ%20W%20CISNEJ,https://www.youtube.com/watch?v=476QyWZHqPA,476QyWZHqPA
284,Kasia Kowalska,A TO CO MAM,1995,https://www.youtube.com/results?search_query=Kasia%20Kowalska%20A%20TO%20CO%20MAM,https://www.youtube.com/watch?v=aWFtbV4HBBo,aWFtbV4HBBo
285,Anna Jurksztowicz,Stan pogody,2017,https://www.youtube.com/results?search_query=Anna%20Jurksztowicz%20Stan%20pogody,https://www.youtube.com/watch?v=K0FhEHQ5zCk,K0FhEHQ5zCk
286,Lao Che,Nie raj,2018,https://www.youtube.com/results?search_query=Lao%20Che%20Nie%20raj,https://www.youtube.com/watch?v=soTn9p3Adpw,soTn9p3Adpw
287,Domowe Melodie,Grażka,2012,https://www.youtube.com/results?search_query=Domowe%20Melodie%20Gra%C5%BCka,https://www.youtube.com/watch?v=PjpdgvPnOEQ,PjpdgvPnOEQ
288,T.Love,IV LICEUM,2014,https://www.youtube.com/results?search_query=T.Love%20IV%20LICEUM,https://www.youtube.com/watch?v=2SN_ZH75e68,2SN_ZH75e68
289,Republika,ŚMIERĆ W BIKINI,1993,https://www.youtube.com/results?search_query=Republika%20%C5%9AMIER%C4%86%20W%20BIKINI,https://www.youtube.com/watch?v=JZ1h5gFhlsg,JZ1h5gFhlsg
290,Czerwone Gitary,KWIATY WE WŁOSACH,2005,https://www.youtube.com/results?search_query=Czerwone%20Gitary%20KWIATY%20WE%20W%C5%81OSACH,https://www.youtube.com/watch?v=e0Flwrc7oAQ,e0Flwrc7oAQ
291,Brodka,Varsovie,2012,https://www.youtube.com/results?search_query=Brodka%20Varsovie,https://www.youtube.com/watch?v=m5CE1yPDxAs,m5CE1yPDxAs
292,Mieczysław Fogg,TO OSTATNIA NIEDZIELA,2001,https://www.youtube.com/results?search_query=Mieczys%C5%82aw%20Fogg%20TO%20OSTATNIA%20NIEDZIELA,https://www.youtube.com/watch?v=NqmGo3KFp2s,NqmGo3KFp2s
293,Czerwony Tulipan,JEDYNE CO MAM,2003,https://www.youtube.com/results?search_query=Czerwony%20Tulipan%20JEDYNE%20CO%20MAM,https://www.youtube.com/watch?v=PWGp6qWvWbc,PWGp6qWvWbc
294,Skaldowie i Łucja Prus,W ŻÓŁTYCH PŁOMIENIACH LIŚCI,,https://www.youtube.com/results?search_query=Skaldowie%20i%20%C5%81ucja%20Prus%20W%20%C5%BB%C3%93%C5%81TYCH%20P%C5%81OMIENIACH%20LI%C5%9ACI,https://www.youtube.com/watch?v=cpVwaNeZXTk,cpVwaNeZXTk
295,Król,Z tobą / Do domu,2018,https://www.youtube.com/results?search_query=Kr%C3%B3l%20Z%20tob%C4%85%20/%20Do%20domu,https://www.youtube.com/watch?v=6JGLalt4xJ4,6JGLalt4xJ4
296,Obywatel G.C.,PARYŻ - MOSKWA 17.15,,https://www.youtube.com/results?search_query=Obywatel%20G.C.%20PARY%C5%BB%20-%20MOSKWA%2017.15,https://www.youtube.com/watch?v=JI9P7RsVn3M,JI9P7RsVn3M
297,Marek Jackowski,OPRÓCZ,2014,https://www.youtube.com/results?search_query=Marek%20Jackowski%20OPR%C3%93CZ,https://www.youtube.com/watch?v=bM4dm6ZwZjo,bM4dm6ZwZjo
298,Czesław Niemen,JEDNEGO SERCA,2009,https://www.youtube.com/results?search_query=Czes%C5%82aw%20Niemen%20JEDNEGO%20SERCA,https://www.youtube.com/watch?v=Fq7Zo3guNJs,Fq7Zo3guNJs
299,Sidney Polak,Chomiczówka,2004,https://www.youtube.com/results?search_query=Sidney%20Polak%20Chomicz%C3%B3wka,https://www.youtube.com/watch?v=9kyIhvt_ZU0,9kyIhvt_ZU0
300,Wilki,BAŚKA,2002,https://www.youtube.com/results?search_query=Wilki%20BA%C5%9AKA,https://www.youtube.com/watch?v=SCIvOsw0O-M,SCIvOsw0O-M
301,Marek Grechuta,NIEPEWNOŚĆ,2001,https://www.youtube.com/results?search_query=Marek%20Grechuta%20NIEPEWNO%C5%9A%C4%86,https://www.youtube.com/watch?v=VBDYT4wJAa4,VBDYT4wJAa4
302,Maanam,TO TYLKO TANGO,2000,https://www.youtube.com/results?search_query=Maanam%20TO%20TYLKO%20TANGO,https://www.youtube.com/watch?v=oJBmV39nTaE,oJBmV39nTaE
303,Cool Kids Of Death,Butelki z benzyną i kamienie,2010,https://www.youtube.com/results?search_query=Cool%20Kids%20Of%20Death%20Butelki%20z%20benzyn%C4%85%20i%20kamienie,https://www.youtube.com/watch?v=vMj7FjFBlkk,vMj7FjFBlkk
304,Budka Suflera,NIE WIERZ NIGDY KOBIECIE,1996,https://www.youtube.com/results?search_query=Budka%20Suflera%20NIE%20WIERZ%20NIGDY%20KOBIECIE,https://www.youtube.com/watch?v=oHQUpMi_JAc,oHQUpMi_JAc
305,Anna Jantar i Zbigniew Hołdys,KTOŚ MIĘDZY NAMI,1993,https://www.youtube.com/results?search_query=Anna%20Jantar%20i%20Zbigniew%20Ho%C5%82dys%20KTO%C5%9A%20MI%C4%98DZY%20NAMI,https://www.youtube.com/watch?v=FnFCJA3nLbY,FnFCJA3nLbY
306,Lady Pank,"TAŃCZ GŁUPIA, TAŃCZ",1995,https://www.youtube.com/results?search_query=Lady%20Pank%20TA%C5%83CZ%20G%C5%81UPIA%2C%20TA%C5%83CZ,https://www.youtube.com/watch?v=9FhPGY1xTqI,9FhPGY1xTqI
307,Kayah & Bregović,"ŚPIJ KOCHANIE, ŚPIJ",2007,https://www.youtube.com/results?search_query=Kayah%20%26%20Bregovi%C4%87%20%C5%9APIJ%20KOCHANIE%2C%20%C5%9APIJ,https://www.youtube.com/watch?v=8-02C_4VA44,8-02C_4VA44
308,Kult,PIOSENKA MŁODYCH WIOŚLARZY,2008,https://www.youtube.com/results?search_query=Kult%20PIOSENKA%20M%C5%81ODYCH%20WIO%C5%9ALARZY,https://www.youtube.com/watch?v=nJpH5NkMb4w,nJpH5NkMb4w
309,Zakopower,Boso,2011,https://www.youtube.com/results?search_query=Zakopower%20Boso,https://www.youtube.com/watch?v=csSefjNCXn0,csSefjNCXn0
310,"Raz, Dwa, Trzy",W WIELKIM MIEŚCIE,2000,https://www.youtube.com/results?search_query=Raz%2C%20Dwa%2C%20Trzy%20W%20WIELKIM%20MIE%C5%9ACIE,https://www.youtube.com/watch?v=rC0CB1VSu5g,rC0CB1VSu5g
311,Kult,CZARNE SŁOŃCA,1993,https://www.youtube.com/results?search_query=Kult%20CZARNE%20S%C5%81O%C5%83CA,https://www.youtube.com/watch?v=FjC-korP-QI,FjC-korP-QI
312,Emigranci,NA FALOCHRONIE,2016,https://www.youtube.com/results?search_query=Emigranci%20NA%20FALOCHRONIE,https://www.youtube.com/watch?v=iPXhs5d_T5I,iPXhs5d_T5I
313,Pidżama Porno,EZOTERYCZNY POZNAŃ,1997,https://www.youtube.com/results?search_query=Pid%C5%BCama%20Porno%20EZOTERYCZNY%20POZNA%C5%83,https://www.youtube.com/watch?v=SmFf_UEA0vo,SmFf_UEA0vo
314,Matylda / Łukasiewicz,Nudny rok,,https://www.youtube.com/results?search_query=Matylda%20/%20%C5%81ukasiewicz%20Nudny%20rok,https://www.youtube.com/watch?v=0Er1u2p-dLA,0Er1u2p-dLA
315,De Press,BO JO CIE KOCHOM,1991,https://www.youtube.com/results?search_query=De%20Press%20BO%20JO%20CIE%20KOCHOM,https://www.youtube.com/watch?v=hxVVH6JdgN0,hxVVH6JdgN0
316,GrubSon,Na szczycie,2018,https://www.youtube.com/results?search_query=GrubSon%20Na%20szczycie,https://www.youtube.com/watch?v=6BnT_wkuMBA,6BnT_wkuMBA
317,Kasia Kowalska,JAK RZECZ,,https://www.youtube.com/results?search_query=Kasia%20Kowalska%20JAK%20RZECZ,https://www.youtube.com/watch?v=BgoVxG0PDEA,BgoVxG0PDEA
318,Kayah & Bregović,BYŁAM RÓŻĄ,,https://www.youtube.com/results?search_query=Kayah%20%26%20Bregovi%C4%87%20BY%C5%81AM%20R%C3%93%C5%BB%C4%84,https://www.youtube.com/watch?v=NtHb82zTJdA,NtHb82zTJdA
319,Maryla Rodowicz,ŁATWOPALNI,,https://www.youtube.com/results?search_query=Maryla%20Rodowicz%20%C5%81ATWOPALNI,https://www.youtube.com/watch?v=_Fu2NySfFlE,_Fu2NySfFlE
320,Edyta Bartosiewicz,SKŁAMAŁAM,,https://www.youtube.com/results?search_query=Edyta%20Bartosiewicz%20SK%C5%81AMA%C5%81AM,https://www.youtube.com/watch?v=HlX1IZqxtDM,HlX1IZqxtDM
321,Perfect,"WYSPA, DRZEWO, ZAMEK",,https://www.youtube.com/results?search_query=Perfect%20WYSPA%2C%20DRZEWO%2C%20ZAMEK,https://www.youtube.com/watch?v=Zh40jN3MrcE,Zh40jN3MrcE
322,De Su,ŻYCIE CUDEM JEST,,https://www.youtube.com/results?search_query=De%20Su%20%C5%BBYCIE%20CUDEM%20JEST,https://www.youtube.com/watch?v=3LHBg5rgiI4,3LHBg5rgiI4
323,Kaśka Sochacka,Ciche dni,,https://www.youtube.com/results?search_query=Ka%C5%9Bka%20Sochacka%20Ciche%20dni,https://www.youtube.com/watch?v=UtqdMYNlgzk,UtqdMYNlgzk
324,Zbigniew Hołdys,CO SIE STAŁO Z MAGDĄ K.?,,https://www.youtube.com/results?search_query=Zbigniew%20Ho%C5%82dys%20CO%20SIE%20STA%C5%81O%20Z%20MAGD%C4%84%20K.%3F,https://www.youtube.com/watch?v=4hwerxA1afc,4hwerxA1afc
325,"Raz, Dwa, Trzy",Oczy Tej Małej,,https://www.youtube.com/results?search_query=Raz%2C%20Dwa%2C%20Trzy%20Oczy%20Tej%20Ma%C5%82ej,https://www.youtube.com/watch?v=dv1MdNjEssY,dv1MdNjEssY
326,Anna Maria Jopek,ALE JESTEM,,https://www.youtube.com/results?search_query=Anna%20Maria%20Jopek%20ALE%20JESTEM,https://www.youtube.com/watch?v=KpBMYjnCLRU,KpBMYjnCLRU
327,Voo Voo,GDYBYM,,https://www.youtube.com/results?search_query=Voo%20Voo%20GDYBYM,https://www.youtube.com/watch?v=IyEGjyyAIIg,IyEGjyyAIIg
328,T.Love,TO WYCHOWANIE,,https://www.youtube.com/results?search_query=T.Love%20TO%20WYCHOWANIE,https://www.youtube.com/watch?v=tp2F8C6vD7o,tp2F8C6vD7o
329,Krzysztof Klenczon i Trzy Korony,10 W SKALI BEAUFORTA,,https://www.youtube.com/results?search_query=Krzysztof%20Klenczon%20i%20Trzy%20Korony%2010%20W%20SKALI%20BEAUFORTA,https://www.youtube.com/watch?v=4RTjMMUcuzk,4RTjMMUcuzk
330,Czesław Śpiewa,Maszynka do świerkania,,https://www.youtube.com/results?search_query=Czes%C5%82aw%20%C5%9Apiewa%20Maszynka%20do%20%C5%9Bwierkania,https://www.youtube.com/watch?v=qHqTTSjWBvg,qHqTTSjWBvg
331,Kult,LEWE LEWE LOFF,,https://www.youtube.com/results?search_query=Kult%20LEWE%20LEWE%20LOFF,https://www.youtube.com/watch?v=HU85OSJLXLI,HU85OSJLXLI
332,VOX,BANANOWY SONG,,https://www.youtube.com/results?search_query=VOX%20BANANOWY%20SONG,https://www.youtube.com/watch?v=Y5lM39tJPUw,Y5lM39tJPUw
333,Oddział Zamknięty,TEN WASZ ŚWIAT,,https://www.youtube.com/results?search_query=Oddzia%C5%82%20Zamkni%C4%99ty%20TEN%20WASZ%20%C5%9AWIAT,https://www.youtube.com/watch?v=QxQA6WMgMBg,QxQA6WMgMBg
334,Republika,MOJA KREW,,https://www.youtube.com/results?search_query=Republika%20MOJA%20KREW,https://www.youtube.com/watch?v=xsSMJfxIZqg,xsSMJfxIZqg
335,Piotr Bukartyk,KOBIETY JAK TE KWIATY,,https://www.youtube.com/results?search_query=Piotr%20Bukartyk%20KOBIETY%20JAK%20TE%20KWIATY,https://www.youtube.com/watch?v=JSLni8bTzp8,JSLni8bTzp8
336,Czerwone Gitary,BIAŁY KRZYŻ,,https://www.youtube.com/results?search_query=Czerwone%20Gitary%20BIA%C5%81Y%20KRZY%C5%BB,https://www.youtube.com/watch?v=ay77vuSEYJs,ay77vuSEYJs
337,Skubas,NIE MAM DLA CIEBIE MIŁOŚCI,,https://www.youtube.com/results?search_query=Skubas%20NIE%20MAM%20DLA%20CIEBIE%20MI%C5%81O%C5%9ACI,https://www.youtube.com/watch?v=YVbwuRAJCAI,YVbwuRAJCAI
338,Human,POLSKI,,https://www.youtube.com/results?search_query=Human%20POLSKI,https://www.youtube.com/watch?v=ViLjJ7LV-AI,ViLjJ7LV-AI
339,Oddział Zamknięty,ANDZIA I JA,,https://www.youtube.com/results?search_query=Oddzia%C5%82%20Zamkni%C4%99ty%20ANDZIA%20I%20JA,https://www.youtube.com/watch?v=r-v2QLmAmOs,r-v2QLmAmOs
340,Irena Jarocka,KAWIARENKI,,https://www.youtube.com/results?search_query=Irena%20Jarocka%20KAWIARENKI,https://www.youtube.com/watch?v=XHHDGqh-dLI,XHHDGqh-dLI
341,Nosowska,Ledwie wczoraj,,https://www.youtube.com/results?search_query=Nosowska%20Ledwie%20wczoraj,https://www.youtube.com/watch?v=MYiElwDs62k,MYiElwDs62k
342,Kwiat Jabłoni,Dziś późno pójdę spać,,https://www.youtube.com/results?search_query=Kwiat%20Jab%C5%82oni%20Dzi%C5%9B%20p%C3%B3%C5%BAno%20p%C3%B3jd%C4%99%20spa%C4%87,https://www.youtube.com/watch?v=FWDXwrgdm9w,FWDXwrgdm9w
343,Robert Gawliński,O SOBIE SAMYM,,https://www.youtube.com/results?search_query=Robert%20Gawli%C5%84ski%20O%20SOBIE%20SAMYM,https://www.youtube.com/watch?v=kpTak7flT4A,kpTak7flT4A
344,KAT,Łza dla cieniów minionych,,https://www.youtube.com/results?search_query=KAT%20%C5%81za%20dla%20cieni%C3%B3w%20minionych,https://www.youtube.com/watch?v=pQlwGWMBCR0,pQlwGWMBCR0
345,Pogodno,ORKIESTRA,,https://www.youtube.com/results?search_query=Pogodno%20ORKIESTRA,https://www.youtube.com/watch?v=jGpP0zSA8Ko,jGpP0zSA8Ko
346,Elektryczne Gitary,JESTEM Z MIASTA,,https://www.youtube.com/results?search_query=Elektryczne%20Gitary%20JESTEM%20Z%20MIASTA,https://www.youtube.com/watch?v=a_I94dWg0p0,a_I94dWg0p0
347,Krzysztof Zalewski,POLSKO,,https://www.youtube.com/results?search_query=Krzysztof%20Zalewski%20POLSKO,https://www.youtube.com/watch?v=uDvGOjakAS8,uDvGOjakAS8
348,Dżem,PAW,,https://www.youtube.com/results?search_query=D%C5%BCem%20PAW,https://www.youtube.com/watch?v=W9lo7RnyFos,W9lo7RnyFos
349,Marek Grechuta & Anawa,NIE DOKAZUJ,,https://www.youtube.com/results?search_query=Marek%20Grechuta%20%26%20Anawa%20NIE%20DOKAZUJ,https://www.youtube.com/watch?v=fOULwRpDAeA,fOULwRpDAeA
350,Mrozu,Złoto,,https://www.youtube.com/results?search_query=Mrozu%20Z%C5%82oto,https://www.youtube.com/watch?v=mr4_R3qrKEc,mr4_R3qrKEc
351,Kabaret Starszych Panów,JEŻELI KOCHAĆ TO NIE INDYWIDUALNIE,,https://www.youtube.com/results?search_query=Kabaret%20Starszych%20Pan%C3%B3w%20JE%C5%BBELI%20KOCHA%C4%86%20TO%20NIE%20INDYWIDUALNIE,https://www.youtube.com/watch?v=o4G8nWWi_48,o4G8nWWi_48
352,Piotr Szczepanik,KOCHAĆ,,https://www.youtube.com/results?search_query=Piotr%20Szczepanik%20KOCHA%C4%86,https://www.youtube.com/watch?v=mREy5gQhseE,mREy5gQhseE
353,Mesajah,KAŻDEGO DNIA,,https://www.youtube.com/results?search_query=Mesajah%20KA%C5%BBDEGO%20DNIA,https://www.youtube.com/watch?v=eCqH-pD_rJE,eCqH-pD_rJE
354,Breakout,"GDYBYŚ KOCHAŁ, HEJ!",,https://www.youtube.com/results?search_query=Breakout%20GDYBY%C5%9A%20KOCHA%C5%81%2C%20HEJ%21,https://www.youtube.com/watch?v=i96NTiKJjP8,i96NTiKJjP8
355,Dżem,PARTYZANT,,https://www.youtube.com/results?search_query=D%C5%BCem%20PARTYZANT,https://www.youtube.com/watch?v=9w-D8LNyomQ,9w-D8LNyomQ
356,Skaldowie,"WSZYSTKO MI MÓWI, ŻE MNIE KTOŚ POKOCHAŁ",,https://www.youtube.com/results?search_query=Skaldowie%20WSZYSTKO%20MI%20M%C3%93WI%2C%20%C5%BBE%20MNIE%20KTO%C5%9A%20POKOCHA%C5%81,https://www.youtube.com/watch?v=_21HqYAL_Ns,_21HqYAL_Ns
357,Fisz Emade Tworzywo,BIEGNIJ DALEJ SAM,,https://www.youtube.com/results?search_query=Fisz%20Emade%20Tworzywo%20BIEGNIJ%20DALEJ%20SAM,https://www.youtube.com/watch?v=sygvbGHjcv0,sygvbGHjcv0
